scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
45,352.61010694503784,136.80901527404785,1.0,388.7258698940277,128.08588123321533,1.0,440.73309898376465,139.67562773823738,1.0,477.5500693321228,143.26193523406982,1.0
46,352.69709730148315,136.80932521820068,1.0,388.7664512395859,128.17456150054932,1.0,441.59020161628723,139.8811469078064,1.0,477.4296442270279,143.1833803653717,1.0
47,352.5229778289795,136.5930676460266,1.0,388.63853907585144,128.18980598449707,1.0,441.6533603668213,139.95645427703857,1.0,477.46273732185364,143.08772993087769,1.0
48,352.5393109321594,136.48734378814697,1.0,388.6700140237808,128.13679218292236,1.0,441.33467864990234,139.97759532928467,1.0,477.29521691799164,143.1069872379303,1.0
49,352.50773668289185,136.63547706604004,1.0,388.6299030780792,128.19528675079346,1.0,440.9112706184387,139.6133307814598,1.0,477.6361483335495,143.12410688400269,1.0
50,352.51913595199585,136.4156527519226,1.0,388.5198259949684,128.1805863380432,1.0,441.34166860580444,139.8869686126709,1.0,477.38063967227936,143.19799041748047,1.0
51,352.42614936828613,136.44145441055298,1.0,388.328560590744,128.13468885421753,1.0,441.31401443481445,139.82882499694824,1.0,477.5085344314575,143.2947998046875,1.0
52,352.414822101593,136.29192447662354,1.0,388.39292204380035,128.2167935371399,1.0,441.2359161376953,139.91542673110962,1.0,477.6840898990631,143.22746968269348,1.0
53,352.3060336112976,136.7537808418274,1.0,388.30807334184647,128.16245555877686,1.0,441.0980725288391,139.84815740585327,1.0,477.50452303886414,143.23184156417847,1.0
54,352.4254288673401,136.59503602981567,1.0,388.4301426410675,128.24514722824097,1.0,441.4120440483093,139.94930744171143,1.0,477.63995921611786,143.33917713165283,1.0
55,352.4628276824951,136.4627766609192,1.0,388.2876372933388,128.1685914993286,1.0,441.01987075805664,139.65996623039246,1.0,477.80621349811554,143.06854915618896,1.0
56,352.53095722198486,136.34001398086548,1.0,388.479690939188,128.19137620925903,1.0,441.6842541694641,139.89480543136597,1.0,477.6675534248352,143.148535490036,1.0
57,352.42451429367065,136.46396207809448,1.0,388.3069314658642,128.10903787612915,1.0,441.32004261016846,139.87857389450073,1.0,477.6477347612381,143.17942309379578,1.0
58,352.4285750389099,136.2820906639099,1.0,388.3717032074928,128.18710613250732,1.0,441.5261912345886,139.9812717437744,1.0,477.6627346277237,143.14865469932556,1.0
59,352.60491609573364,137.03791284561157,1.0,388.38527408242226,128.2804799079895,1.0,441.8665316104889,140.0745086669922,1.0,477.939649105072,143.23846554756165,1.0
60,353.8807828426361,138.60848474502563,1.0,388.34627372026443,128.05941104888916,1.0,441.49351024627686,140.0383710861206,1.0,477.35870134830475,143.3709738254547,1.0
61,355.8245848566294,141.75037395954132,1.0,388.59228324890137,128.2046718597412,1.0,441.00164270401,139.8633542060852,1.0,476.9853262901306,143.13477540016174,1.0
62,356.79509580135345,143.3830907344818,1.0,388.84397327899933,127.89617276191711,1.0,441.2944815158844,139.80663061141968,1.0,476.7918615937233,143.2416651248932,1.0
63,358.07723665237427,144.12344026565552,1.0,389.08369183540344,127.68923258781433,1.0,440.90870237350464,139.7473611831665,1.0,476.9742037653923,143.20470476150513,1.0
64,358.0786187648773,143.27860808372498,1.0,389.19844365119934,127.64372539520264,1.0,440.6927399635315,139.6283884048462,1.0,476.5699046254158,143.2909107208252,1.0
65,357.71090066432953,143.0447177886963,1.0,389.3190894126892,127.5348756313324,1.0,440.91477727890015,139.84389448165894,1.0,476.7260216474533,143.23200130462646,1.0
66,358.43889236450195,143.58040499687195,1.0,389.4750304222107,127.62797403335571,1.0,441.1008126735687,139.8482666015625,1.0,476.8957419991493,143.37011241912842,1.0
67,360.27789878845215,144.71829652786255,1.0,389.5755863189697,127.34451198577881,1.0,441.1184220314026,139.78889656066895,1.0,476.8269776701927,143.17783403396606,1.0
68,362.0163621902466,147.5178620517254,1.0,389.4363681077957,127.23164868354797,1.0,440.8483467102051,139.74378538131714,1.0,476.6702011227608,143.1790063381195,1.0
69,362.12563133239746,148.33230116963387,1.0,389.41339087486267,127.3086769580841,1.0,440.6319899559021,139.62271690368652,1.0,476.08155976980925,143.04558610916138,1.0
70,362.1631450653076,148.17202538251877,1.0,389.3089383840561,127.27699589729309,1.0,440.81482458114624,139.8070158958435,1.0,476.4597833454609,143.24554896354675,1.0
71,361.80315589904785,148.3203066587448,1.0,389.3282622098923,127.3913197517395,1.0,440.7136344909668,139.66080713272095,1.0,476.808946788311,143.25765681266785,1.0
72,361.69429206848145,148.45039919018745,1.0,389.1677201986313,127.15080046653748,1.0,440.79255199432373,139.72054195404053,1.0,476.23927606642246,143.23982000350952,1.0
73,361.07571506500244,147.64333528280258,1.0,389.12148106098175,127.4569525718689,1.0,440.2024493217468,139.48575639724731,1.0,476.4725449383259,143.2640244960785,1.0
74,360.6028027534485,146.98994529247284,1.0,389.07448959350586,127.36072611808777,1.0,440.75433921813965,139.6375026702881,1.0,476.3065766096115,143.23817491531372,1.0
75,359.5404336452484,145.3963565826416,1.0,389.2076932191849,127.40860080718994,1.0,440.45492029190063,139.4925537109375,1.0,476.01210015732795,143.25152349472046,1.0
76,359.5931487083435,145.5577802658081,1.0,389.14840626716614,127.40429544448853,1.0,440.55254650115967,139.56057500839233,1.0,476.00032650353387,143.12886834144592,1.0
77,359.63886070251465,145.51165103912354,1.0,389.32065653800964,127.53561854362488,1.0,440.1589422225952,139.5428657233715,1.0,476.0386419519782,143.1844403743744,1.0
78,359.5945415496826,145.2764048576355,1.0,389.1377440690994,127.57841467857361,1.0,440.80214405059814,139.65054416656494,1.0,476.00983426813036,143.2224895954132,1.0
79,359.2595615386963,145.09298133850098,1.0,389.30929958820343,127.5238356590271,1.0,440.49248218536377,139.53491973876953,1.0,476.04905488342047,143.07813262939453,1.0
80,359.190066576004,145.03743410110474,1.0,389.2244476079941,127.51012825965881,1.0,440.6253447532654,139.50326824188232,1.0,476.1090244650841,143.10424709320068,1.0
81,359.1076738834381,144.7775797843933,1.0,389.3055160045624,127.64476943016052,1.0,440.4848003387451,139.34413385391235,1.0,476.26582100987434,143.02797627449036,1.0
82,359.1316056251526,144.54193019866943,1.0,389.1986963748932,127.5804271697998,1.0,440.7396025657654,139.5830020904541,1.0,476.2617730498314,143.02647161483765,1.0
83,358.88739800453186,144.3800506591797,1.0,389.2896810770035,127.6029303073883,1.0,440.64079093933105,139.47727060317993,1.0,476.1987207084894,143.05771327018738,1.0
84,358.8860056400299,144.3973879814148,1.0,389.26235687732697,127.64384937286377,1.0,440.8334789276123,139.63477754592896,1.0,476.1449823528528,143.13758516311646,1.0
85,358.87818717956543,144.2520890235901,1.0,389.3215261697769,127.69161009788513,1.0,440.7255735397339,139.49688148498535,1.0,476.2227893769741,143.11536693572998,1.0
86,358.87069272994995,144.4283218383789,1.0,389.0818524360657,127.6390860080719,1.0,440.9454526901245,139.6798915863037,1.0,476.4142698645592,143.13412237167358,1.0
87,358.8482930660248,144.48258209228516,1.0,389.1716870069504,127.67756938934326,1.0,440.8789448738098,139.66138792037964,1.0,476.5085690021515,143.20818734169006,1.0
88,358.6514060497284,144.19025087356567,1.0,389.1398004293442,127.64866423606873,1.0,440.99007081985474,139.82569789886475,1.0,476.3701910376549,143.21527314186096,1.0
89,358.4942696094513,143.8901195526123,1.0,389.2486571073532,127.70637583732605,1.0,440.6514539718628,139.56144046783447,1.0,476.0178993176669,143.23550009727478,1.0
90,358.4332683086395,143.98564529418945,1.0,389.18189227581024,127.62326288223267,1.0,440.83754444122314,139.71340608596802,1.0,476.0594197511673,143.2299427986145,1.0
91,358.4828026294708,144.0565700531006,1.0,389.29127836227417,127.67617177963257,1.0,440.76619052886963,139.6239414215088,1.0,476.42230543494225,143.11313462257385,1.0
92,358.4967625141144,144.04403352737427,1.0,389.1517915725708,127.7081835269928,1.0,441.01927375793457,139.6485481262207,1.0,476.4003839790821,143.1233241558075,1.0
93,358.5602135658264,144.19991779327393,1.0,389.16060614585876,127.678955078125,1.0,440.94346594810486,139.61475372314453,1.0,476.37395372986794,143.0845606327057,1.0
94,358.6095736026764,144.15598917007446,1.0,389.15770304203033,127.73137950897217,1.0,440.8187737464905,139.60994148254395,1.0,476.6824304461479,143.00795674324036,1.0
95,358.626966714859,144.23950052261353,1.0,389.16875064373016,127.62246489524841,1.0,440.8210723400116,139.6022253036499,1.0,476.275113761425,143.00290155410767,1.0
96,358.622163772583,144.3355541229248,1.0,389.0364879369736,127.6732439994812,1.0,440.84509801864624,139.6046953201294,1.0,476.2236413806677,143.22441363334656,1.0
97,358.6065483093262,144.13116121292114,1.0,389.14282834529877,127.6335859298706,1.0,440.81412649154663,139.61370611190796,1.0,476.4914685487747,143.21604657173157,1.0
98,358.6117503643036,143.9339623451233,1.0,389.1555131673813,127.66166472434998,1.0,440.8767924308777,139.69471788406372,1.0,476.41170078516006,143.17249083518982,1.0
99,358.4844732284546,143.9419777393341,1.0,389.2036882638931,127.61297917366028,1.0,440.2562584877014,139.53983837366104,1.0,476.6413369178772,143.16269087791443,1.0
100,358.5315089225769,143.95804691314697,1.0,389.0651253461838,127.63905549049377,1.0,440.69225025177,139.65971040725708,1.0,476.5674930214882,143.25692892074585,1.0
101,358.5032877922058,144.0133090019226,1.0,389.19505655765533,127.68822288513184,1.0,440.74905037879944,139.72645092010498,1.0,476.40184313058853,143.10191941261292,1.0
102,358.4886431694031,143.97796201705933,1.0,389.02839624881744,127.67598271369934,1.0,441.12715911865234,139.77629280090332,1.0,476.81204068660736,143.043625831604,1.0
103,358.53585028648376,143.81571650505066,1.0,389.10710859298706,127.66490697860718,1.0,440.8339650630951,139.7597942352295,1.0,476.8514888882637,142.97687077522278,1.0
104,358.4987750053406,143.7881782054901,1.0,389.16950154304504,127.67900013923645,1.0,440.9027352333069,139.62678909301758,1.0,476.4230735898018,143.1479516029358,1.0
105,358.4607446193695,143.8499825000763,1.0,389.2091282606125,127.69728708267212,1.0,440.9930820465088,139.729088306427,1.0,476.6194577217102,143.04101514816284,1.0
106,358.418541431427,144.00186491012573,1.0,389.1115276813507,127.64216566085815,1.0,441.1361229419708,139.82726526260376,1.0,476.60832566022873,143.11681151390076,1.0
107,358.33794021606445,143.95068788528442,1.0,389.2034652233124,127.62023520469666,1.0,441.0481028556824,139.63174724578857,1.0,476.7080851793289,142.99463200569153,1.0
108,358.3524262905121,143.86144518852234,1.0,389.23407685756683,127.62469959259033,1.0,440.90350437164307,139.60584354400635,1.0,476.29685086011887,143.06002712249756,1.0
109,358.3017716407776,143.8485369682312,1.0,389.2197163105011,127.69930744171143,1.0,440.820264339447,139.56867122650146,1.0,476.13471890985966,143.14214515686035,1.0
110,358.40629148483276,143.8989441394806,1.0,389.2436909675598,127.65746521949768,1.0,440.88708305358887,139.64201974868774,1.0,476.2039932012558,143.1215488910675,1.0
111,358.35605025291443,144.02469873428345,1.0,389.24259185791016,127.65668535232544,1.0,440.66503715515137,139.51720237731934,1.0,476.4954290986061,142.91611528396606,1.0
112,358.39341831207275,143.93711113929749,1.0,389.366304397583,127.6780104637146,1.0,440.6688566207886,139.53404140472412,1.0,476.1920133829117,143.05450892448425,1.0
113,358.30911898612976,143.80480408668518,1.0,389.3091104030609,127.74517059326172,1.0,440.19389390945435,139.42353522777557,1.0,476.1660315692425,143.05714988708496,1.0
114,358.356812953949,143.7287564277649,1.0,389.363911986351,127.66649079322815,1.0,440.67467880249023,139.4611520767212,1.0,476.2685353755951,143.07750844955444,1.0
