scorer,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000,DeepCut_resnet50_nirvanaJul18shuffle1_150000
bodyparts,nose,nose,nose,L-ear,L-ear,L-ear,R-ear,R-ear,R-ear,tail base,tail base,tail base,tail tip,tail tip,tail tip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
12,445.87489902973175,394.05809795856476,0.9941033720970154,390.25728607177734,413.12083530426025,0.9999994039535522,383.9259252548218,357.52326488494873,0.9998978972434998,361.87565541267395,535.2352643013,0.8434277176856995,262.1059379577637,613.5574845075607,0.3035650849342346
13,443.77875693142414,400.5213222503662,0.9999334812164307,390.78297877311707,418.214467048645,1.0,386.38869416713715,363.2235437631607,0.9994461536407471,360.31145429611206,533.9183492660522,0.7265940308570862,374.58652567863464,723.0893093943596,0.8257460594177246
14,447.70662927627563,417.1337926387787,0.9993098974227905,389.7064108848572,424.3250780105591,0.9999997615814209,390.56216859817505,368.05322217941284,0.9977226257324219,259.9408276081085,613.6524621248245,0.9684642553329468,375.1063709259033,722.4486916065216,0.9709348678588867
15,454.6430037021637,419.9618896692991,0.9999172687530518,388.46628418564796,433.3002462387085,1.0,395.8123721033335,378.4445552825928,0.994802713394165,453.9101804494858,421.4497060775757,0.8763382434844971,373.73537015914917,725.1094588041306,0.7809525728225708
16,463.5228900909424,424.7650842666626,0.9998970031738281,393.4134554862976,440.45959424972534,0.9999909400939941,401.15408301353455,381.85219073295593,0.9938510656356812,374.64091992378235,725.130117893219,0.9160784482955933,631.9061431884766,580.6695206165314,0.993414044380188
17,469.7937294244766,434.43491876125336,0.999974250793457,398.30248069763184,443.76268696784973,0.9999957084655762,411.9080173224211,389.7126108407974,0.9231204986572266,369.7774467468262,724.2192824184895,0.6248958110809326,369.2329726219177,724.9551550745964,0.8786532878875732
18,475.58564549684525,439.4621365070343,0.9987982511520386,402.22628235816956,447.88385343551636,0.9999948143959045,357.85325253009796,533.5139377117157,0.9719220399856567,361.1494605541229,534.799234867096,0.30097728967666626,1065.5160808563232,773.8805544376373,0.009159326553344727
19,482.9474700689316,439.3642761707306,0.999994158744812,402.894851565361,450.5959974527359,0.9999983310699463,410.7569690942764,392.61672592163086,0.986207127571106,364.5172357559204,537.158529996872,0.3553192615509033,322.70709693431854,378.3190941810608,0.05268353223800659
20,485.8305995464325,437.5844283103943,0.9999538660049438,404.582642018795,453.3744024038315,0.9999918937683105,414.3047604560852,394.312517285347,0.9581661820411682,304.67061138153076,687.701055765152,0.9592773914337158,613.335477232933,442.03478956222534,0.9999202489852905
21,488.7291851043701,433.04215359687805,0.9997983574867249,408.2809009552002,453.9133766889572,0.9999638199806213,412.35133481025696,391.1533181667328,0.9880716800689697,320.1426477432251,381.74218130111694,0.5788878798484802,306.33058393001556,609.8119471073151,0.996031641960144
